AlexaFluor 350
AlexaFluor 430
ATTO 425
FAM
ATTO 488
TET
JOE
VIC
Yakima Yellow
ATTO 532
HEX
Cy3
ATTO 550
TAMRA
ATTO 565
ROX
Texas Red
California Red
ATTO 590
ATTO 620
ATTO 647N
Cy 5
Cy 5.5
Cy7
